Persona,Lv.,Arcana,Types,Drain,Reflect,Null,Resist,Evade 1,Evade 2,Evade 3,Weak,Type,Stat Bonuses,Natural Skill,Active Abilities,Passive Abilities,Disposition,Reward,STR,MAG,TEC,AGI,VIT,LCK,Pg.,Compendium?
Heqet,7,Aeon,"PSY, Heal",,,,Ice,,,,Status,Shadow,"+4 Empathy, +1 TEC","Matriarch of the Waters – Once per week, whenever you or another user gains a new Persona, grant that Persona +1 SP. This has no action cost and can be activated even if this isn’t your active Persona.","Item Knowledge: Heqet declares an Almighty Type attack against one target within 7 meters. On hit, she can use one non-Special consumable in the target’s inventory on herself or any other Shadow.
Mapsio: Any number of targets within 6 meters. On hit: 5d4 (12) PSY damage. If Heqet is suffering from a Status effect, Heqet is healed from this Status and each hit target has a 60% chance to suffer that Status.",,"Devilish, Childish","Shirk (T2 PSY)",2,5,7,4,2,2,C-206,FALSE
Lilim,7,Devil,"Ice, Debuff",,,Dark,Nuclear,,,,Light,Shadow,"+4 Charm, +4 Empathy",Irresistible – Add +1 to negotiation checks against Flirty Shadows.,"Bufula: 1 target within 8 meters is pieced by a frozen javelin, taking 5d8 (22) Ice damage on hit.
Rakundyne: 1 target Lilim can see suffers Fortify Physical -24, Fortify Elements -24 for 3 turns.","Earthly Desires (P): At the start of each of this Shadow’s turns, all Users have a 10% chance to suffer Charmed.","Flirty, Snobbish",Heatsink (T2 Ice),1,5,5,5,4,4,C-200,FALSE
Mithras,7,Sun,"Thunder, Light, Dark",Fire,,Status,,,,,Intel,Shadow,"+1 MAG, +1 TEC","Bloodbath – Whenever you kill a target using a Death category spell, any number of targets adjacent to the original target lose 2TEC% of their current HP as Light damage.","Sacrificial Dagger: Mithras can kill a Shadow, with no check and as a Quick action, to raise all its Combat Skills by 2 for 3 turns.
Divine Judgement: One target loses 50+2TEC% (62%) of its current HP, Light damage.
Mudoon: One target whose HP is under 30+3TEC% (40%) of its maximum is killed.
Zio: 1 target within 8 meters. On hit: 7d6 (24) Thunder damage e 21% Shocked chance.",,Noble,"Thunder Boost (T2 Thunder)",1,7,6,4,3,4,C-202,FALSE
Myrmecoleon,7,Star,"Wind, Status",,,Wind,,,,,,Shadow,+1 STR,"Versatile Stomach – Consumables used on yourself recover 10 HP, in addition to their stated effects.","Wind Rush: Up to 1d6 targets within 5 meters. On hit: 6d6 (21) Wind damage. If the number of targets rolled is greater than the number of Users in range, Myrmecoleon might choose the same target up to two times each. 
Toxic Bite: 15+5TEC% (55%) Poisoned chance. Targets Poisoned by this spell suffer Wind Affinity -1 until they're healed of Poisoned. ",,"Friendly, Anthropophagous",Vile Breath (T2 Status),1,6,8,1,5,2,SSVII-32,FALSE
Rastaman,7,--,,,,,Wind,,,,PSY,Human,,,"Rest: Rastaman recovers VITd4 (20) HP 
Poison Spit: Up to 3 targets within 3 meters. 25+5TEC% (50%) Poisoned chance. 
Stab: One adjacent target. On hit: 3d10 (16) Physical damage. Guaranteed Critical hit if the target is Poisoned.  ",,Devilish,,3,5,5,1,8,2,SSII-16,FALSE
Succubus,7,Devil,"Fire, Dark, Status",,,Dark,Fire,,,,Gun,Shadow,"+4 Expression, +4 Charm",Lady of Dreams – Targets suffering Charmed automatically fail dodge checks against you.,"Sulfur’s Kiss: 1 target within 8 meters. On hit: 6d4+2 (17) Fire damage and 5TEC% (25%/45%) Charmed chance.
Eternal Dream: 1 target Succubus can see whose HP is under 25% dies immediately. If the target is suffering from Charmed, increase the cap of this spell to 40%.
Ghastly Wail: Any number of targets suffering Status effects. HDC -1. On hit: Target is put into Death’s Door immediately.","Status Boost (P): Succubus has 20% more chance to cause any Status effect.
Soul Syphon (P): Targets that fail a dodge check against Succubus lose 2 Energy. ","Flirty, Anthropophagous","Haeiga (T2 Dark)",1,6,5,7,2,2,C-202,FALSE
Takeminakata,7,Hanged Man,"Physical, Thunder",,,,Dark,Physical,,,Intel,Shadow,"+1 STR, +1 TEC","Fallen Avenger – You gain +1 STR, +1 TEC while your HP is below 50%. This is not a Buff effect.","Akasha Arts: One target within 4 meters. On hit: 6d6 (21) Physical damage. Takeminakata can sacrifice 10X HP para to hit X extra targets.
Electrical Current: For each 10 HP below Takeminakata’s maximum, declare one attack with the following parameters: 1 target within 6 meters. On hit: 4d4+2 (12) Thunder damage.",Auto-Rakukaja (P): Resist Physical and Elements +8 for the first 3 rounds of combat.,Chaotic, Chains of Madness (T2 Physical),5,4,5,4,3,2,C-204,FALSE
Wendigo,7,Devil,"Physical, Status",,Ice,,Dark,,,,Fire,Shadow,"+4 Empathy, +1 MAG, +1 AGI","Gray Waves – Once per day, you may select one of your Combat Skills that’s under the effect of a Buff spell: Apply the same bonus to another Combat Skill for the same duration.  ","Maha Aquadyne: Up to 3 targets within 8 meters. On hit: 6d6 (21) Ice damage. Ignores Resist Ice. HDC +1 against targets within Circle of Sleep. 
Mazurka: 1 target within Circle of Sleep. As long as the chosen target remains under the effect of a Circle effect, Weak attacks against the target gain Critical Margin +2 ","Circle of Sleep (P): A 4-meter radius area around Vivian is converted into a placid lake. Users within this area have their movement allowance halved and have a 20% higher chance to be inflicted with any Status effect. 
Lady of the Lake (P): Users outside of the Circle of Sleep who declare an attack against Vivian must first roll a 1d4. If the result is odd, the attack does not affect Vivian. ","Noble, Flirty",Mabufudyne (T3 Ice),6,1,5,4,5,2,C-316,FALSE
Zombie Mouse,7,Hanged Man,"Physical, Status, Debuff",,,,"Physical, Gun",,,,,Rumor,"+1 TEC, +1 LCK","Plane Crazy – (Quick) You can target one Shadow under a Debuff effect to a Combat Skill: You gain Fortify <Physical & Elements> +X, where X is the difference between the Shadow's base Skill and its current value, for the duration of the Debuff effect. This is a Buff effect. ","Stab-boat Willie: Up to two targets Zombie Mouse can see. On hit: 4d6 (14) Physical damage and the target cannot roll to recover from Status effects until the start of Zombie Mouse's next turn. 
The Barn Dance: All units in combat. Against Shadows, this spell has a 100% Enraged chance. Against Users, this spell has a 20+5TEC% (45%) Stunned chance. ",,Chaotic,Ha Sukunda (T2 Debuff) ,4,1,5,5,7,2,SSVI-36,FALSE
Kaguya Picaro,7,Moon,"Light, Intel, Heal",,,"Light, Dark, Nuclear",,,,,Fire,Shadow,"+4 Charm, +4 Expression","Lunar Sovereign – [Free, once per combat, spend 1 Aspect Point]: Choose one Type you're not Weak against: Gain <Type> Affinity +1 until the end of combat. ","Rejection (Light): Reduces 1 target’s current HP to 1. 
Selene (Almighty): Deals 1 point of Almighty damage to all combatants, no dodge check. 
Stunning Galaxy (Intel): All targets whose HP are below 15+5TEC% (50%) are rendered unconscious (cannot perform any actions until attacked). 
Lydia: One target Kaguya can see restores 25% of its HP at the end of each of its turns until the target or Kaguya dies. Lydia can only be active on one target at a time.  ","Rebel Moon (P): At the start of each round, Kaguya gains Affinity +1 against one Type. If Kaguya has an Affinity of Resist or higher against more than 5 Types at once, it immediately loses all Affinities gained by Rebel Moon, and gains two extra turns this round, directly after her default turn. ","Noble, Friendly",Prayer Bead (Consumable),1,4,7,4,6,2,SSVIII-20,FALSE
Arcana Chariot,8,Chariot,"Physical, Status",,,,,,,,Dark,Tyrant,,"Arcana of Anxiety – Arcana Chariot deals 20% more damage against targets that act before it in the initiative queue, and 20% less damage to targets that act after itself. ","Power Charge: The next time Arcana Chariot casts Kill Rush, its damage is multiplied by 2.5.
Kill Rush: Any number of targets between Arcana Chariot and a point within 6 meters. On hit: 8d6 (28) Physical damage and Arcana Chariot moves to the chosen point.
Poison Mist: All Users in combat. 15+5TEC% (55%) Poisoned chance.",,,,8,1,8,6,6,2,SSVI-49,FALSE
Arcana Hierophant,8,Heirophant,"Thunder, Status, Debuff",,Thunder,,,,,,,Tyrant,,"Arcana of Tarnishing – All Status effects against Users suffering from Debuff effects have a 20% higher chance to activate. At the start of each Users’ turn, if they are suffering from a Status effect, increase the duration of all Debuffs on that User by 1d4 rounds. ","Zionga: One target within 6 meters. On hit: 5d8 (22) Thunder damage and 30% Shocked chance.
Prophecy of Ruin: All Users in combat. 20+5TEC% (55%) Fearful chance.
Sukundamon: One target within 8 meters. -2 TEC, -2 AGI for 3 rounds. This is a Debuff effect.
Dekaja: Arcana Hierophant removes all Debuff effects from itself.",,,,1,5,7,3,7,2,SSVI-45,FALSE
Nandi,8,Star,"Wind, Status, Heal",,,Wind,,,,,Fire,Shadow,"+1 TEC, +4 Expression",Artist of the Heavenly Temple – Grants Expression Tier +1 to all checks that involve musical performances. Songs you play inspire and relax all that hear it.,"Garula: 1 target within 10 meters. On hit: 6d6 (21) Wind damage. Critical Margin +2
Crushing Might: 1 target within 8 meters. 115% chance of Knockdown
Ha Diarama: Caster and all allies within 4 meters heal 6d8+5 (33) HP",Breeze of Renewal (P): Restores 20% of this Shadow’s maximum HP each time it hits a target with a Wind spell.,"Noble, Friendly",Stagnant Air (T2 Status),1,6,8,3,4,4,C-207,FALSE
Arcana Lovers,8,Lovers,"Physical, Status, Almighty",,,,,,,,,Tyrant,,"Arcana of Attrition – A User who declares an attack against another User, either by the Charmed Status or by the effect of Heartbreaker, is forced to roll for a Critical hit, if possible. ","Holy Arrow: One target within 10 meters. On hit: 3d8+3 (16) Physical damage and 30% Charmed chance. 
Spirit Drain: One target Arcana Lovers can see loses 2d4 Energy. If the target's Energy is below 0 after this spell resolves, Arcana Lovers can declare one extra Hetelic Action this round. 
Life Drain: One target Arcana Lovers can see. On hit: (STR+MAG)d6 (21) Almighty damage and Arcana Lovers recovers health equal to half the dealt damage. If the target is Charmed, this attack gains Critical Margin +3 and can roll for Critical Hits without spending Luck Charges. ",,,,3,3,8,7,3,2,SSVI-46,FALSE
Calm Nurse,8,--,,,,,Fire,,,,Ice,Minion,,,"Diarama: Kind Doctor recovers 20% (52) of its maximum HP. 
Evil Smile: Any number of targets. 10+5TEC% (35%) Fearful chance ",,,,1,6,5,3,3,2,SSV-41,FALSE
Ardha,8,Judgement,"Physical, Heal",Ice,,"Fire, Thunder",,,,,,Shadow,"+1 STR, +1 MAG",God and Goddess – Grants Expression Tier +2 for disguise checks and Charm Tier +1 for flirting checks.,"Brave Blade: 1 adjacent target. HDC +1. On hit: 7d6 (24) Physical damage.
Cosmic Flame: All combatants. On hit: 7d4 (17) Fire damage","Paired Step (P): +1 DDC against Physical, Nuclear and Wind Type attacks","Noble, Flirty",Herculean Strike (T2 Physical),7,7,6,3,6,4,C-209,FALSE
Caring Nurse,8,--,,,,,Ice,,,,Fire,Minion,,,"Matarukajamon: Kind Doctor, Calm Nurse and Caring Nurse gain +2 STR, +2 MAG for 3 rounds. 
Marakundamon: Any number of Users in combat suffer Fortify Physical and Elements -8 for 3 rounds. ",,,,1,1,3,7,6,2,SSV-41,FALSE
Ganga,8,Priestess,"Ice, Status, Heal",Ice,,,,,,,Fire,Shadow,"+1 MAG, +1 TEC","Purity of the Waters – Once per combat, you can remove all Nerve Status of a target who can hear you as a Quick action.","Bufula: 1 target within 10 meters. On hit: 7d8 (31) Ice damage
Source of Renewal: All adjacent targets are healed of all Status effects and recover 30% of their maximum HP.
Challenge: Ganga and a target within 6 meters. 80% Enraged chance. Ganga can fail the test automatically.","Swift Orb (P): Grants +2 TEC, +2 AGI for 3 rounds to the Shadow with the lowest initiative score. ","Noble, Childish",Mabufula (T2 Ice),1,7,7,3,6,2,C-210,FALSE
Decarabia,8,Fool,"Fire, Intel",,,,"Dark, Status, Nuclear",,,,Physical,Shadow,"+1 MAG, +4 Knowledge","Hellish Metamorphosis – Once per day, you can summon a giant bird and gain the effects of Magnificent Wings+ (Pg. 143) until the end of the scene.","Dazzling Circle: A circle with a 4m radius centered on Decarabia. Any number of targets within the circle have a 40% chance to be Stunned at the start of each round. The circle lingers in the arena for 3 rounds.
Swamp of the Will O’ Wisps: A 4-meter radius circle around Decarabia is flooded with thick, abrasive fog. Combatants within the circle cannot see or attack targets outside the circle. This effect lasts for 1 round.
Blazing Whirlwind: Up to 3 targets within 7 meters. On hit: 7d4 (17) Fire damage.",Healing Sigil (P): Decarabia heals 5VIT% (20%) of its maximum HP at the start of each turn it spends inside a Circle spell.,Devilish,Ha Agilao (T2 Fire),1,7,6,4,4,4,C-208,FALSE
Demonstrators,8,--,,,"Gun, Thunder",Dark,,,,,,Horde,,,"Panic Caster: Demonstrators deal 20% more damage for 3 rounds but cannot move from their current position. This is a Buff effect. At the end of each round under this effect, if Demonstrators did not cast one of their spells this round, they lose 50 HP (no check). 
Barrage: Any number of targets within 6 meters. On hit: 7d4 (17) Physical damage. 
Riot Response: One target within 4 meters. On hit: 7d8 (31) Thunder damage and 5TEC% (30%) Shocked chance. 
The Boot: One Shocked target. Does not check for dodge. Critical Margin +2. On hit: 7d10 (38) Physical damage. ",,,,7,1,6,1,6,4,SSV-49,FALSE
Flauros,8,Devil,"Physical, Fire, Buff",,,Fire,,,,,Ice,Shadow,"+1 STR, +1 AGI",Flame Manipulator – As an Interrupt action: You can spend 1 Aspect Point to change the targets or area of effect of a Fire spell.,"Circle of Despair: A circle with 3 meters of radius centered on Flauros, that lingers on the arena for 3 rounds. Any number of targets that start their turn within the circle have a 20+5TEC% (45%) chance to suffer Panicked.
Vile Assault: One target within 4 meters. On hit: 6d6 (21) Physical damage. Deals 10 extra Physical damage to Knocked Down targets.
Agilao: 1 target within 8 meters. On hit: 6d6 (21) Fire damage.","Lemegeton (P): As long as Flauros stays alive, Shadows within the area of any Circle spell gain +2 STR, +2 MAG.","Devilish, Aggressive",Eyes of Fire (T2 Fire) ,6,1,5,6,2,4,C-207,FALSE
Hariti,8,Empress,"Status, Heal",,,,"Light, Status",,,,Physical,Shadow,"+1 STR, +1 VIT","Buddha’s Wisdom – Gain Empathy Tier +2 to understand and predict the suffering caused by your actions, intentionally or not.","Unarmed Attack: One adjacent target. On hit: 6d6+5 (25) Physical damage
Diarahan: One target restores 100% of its maximum HP
Change of Heart: Any number of targets within 6 meters: 55% Charmed chance.",Ogre Bones (P): Fortify Physical +10.,"Flirty, Anthropophagous",Physical Wall (T2 Defense),6,1,7,1,8,2,C-212,FALSE
Power,8,Justice,"Physical, Heal, Buff",,,,Wind,,,,Dark,Shadow,"+1 STR, +4 Courage","Sixth Order – Studying a Palace or Shadow out of combat for a few minutes reveals a rule, guideline or limitation applied to the scene.","Fatal End: A target within 2 meters. On hit: 6d8 (27) Physical damage.
Ha Diarama: Caster and all allies within 4 meters recover 3d8+15 (28) HP.","Light Shield (P): Light spells cast against Power deal 1/3 of its original damage.
Auto-Tarukajamon (P): At the start of combat, Power gains +2 STR, +2 MAG for the first 3 rounds of combat.",Noble,Rakukajamon (T2 Buff),6,3,6,1,7,2,C-212,FALSE
